"team_abbrev","gp_onice","cf_5v5","ca_5v5","gf_5v5","ga_5v5","pp_goals","pp_shots","pk_goals_against","pk_shots_against","xg_for","xg_against","toi_5v5_sec","toi_pp_sec","toi_pk_sec","cf_pct_5v5","gf_per60_5v5","ga_per60_5v5","pp_goals_per60","pk_ga_per60"
"TOR",82,3560,3895,149,156,49,807,62,126,0,0,228637,28963,25451,47.8,2.35,2.46,6.09,8.77
"MTL",89,4069,3905,144,148,62,816,48,157,0,0,247997,27415,31341,51,2.09,2.15,8.14,5.51
"PIT",89,3969,3467,156,140,50,922,52,137,0,0,241784,32666,31146,53.4,2.32,2.08,5.51,6.01
"PHI",93,4104,4168,193,168,55,917,59,170,0,0,254768,32321,31641,49.6,2.73,2.37,6.13,6.71
"MIN",82,3012,3645,126,148,52,682,53,98,0,0,228096,25377,26738,45.2,1.99,2.34,7.38,7.14
"CAR",82,3743,3895,149,156,53,829,51,105,0,0,225853,30096,24187,49,2.37,2.49,6.34,7.59
"COL",82,3288,3661,148,173,47,627,74,119,0,0,228299,23524,28143,47.3,2.33,2.73,7.19,9.47
"CHI",89,4007,3676,182,156,66,761,56,100,0,0,256854,26546,25692,52.2,2.55,2.19,8.95,7.85
"EDM",82,3156,3652,123,170,43,689,72,120,0,0,225605,26721,28355,46.4,1.96,2.71,5.79,9.14
"CGY",82,3597,3359,162,147,58,804,48,111,0,0,228108,28139,26056,51.7,2.56,2.32,7.42,6.63
"CBJ",82,3405,3289,139,159,39,842,60,105,0,0,225451,27100,27313,50.9,2.22,2.54,5.18,7.91
"SJS",100,4796,4248,189,167,79,1271,73,124,0,0,283452,33040,30194,53,2.4,2.12,8.61,8.7
"NJD",82,3277,2999,117,146,32,640,40,84,0,0,237880,22526,22760,52.2,1.77,2.21,5.11,6.33
"DAL",82,3247,3505,143,141,56,912,54,89,0,0,228202,28056,25536,48.1,2.26,2.22,7.19,7.61
"DET",93,4373,3830,191,180,74,970,63,119,0,0,260363,29689,30884,53.3,2.64,2.49,8.97,7.34
"ANA",88,3247,4067,143,170,74,827,60,77,0,0,244645,26261,30008,44.4,2.1,2.5,10.14,7.2
"OTT",82,3435,3455,123,173,44,633,47,108,0,0,230730,22803,27432,49.9,1.92,2.7,6.95,6.17
"BUF",89,3875,3867,171,159,62,845,52,94,0,0,248817,27558,28563,50.1,2.47,2.3,8.1,6.55
"ATL",82,3581,3773,140,167,51,695,62,124,0,0,232291,24497,24661,48.7,2.17,2.59,7.49,9.05
"WSH",91,4159,3896,159,146,49,893,47,126,0,0,257425,26952,29439,51.6,2.22,2.04,6.54,5.75
"BOS",107,5064,4948,236,157,53,943,59,172,0,0,307158,33755,31891,50.6,2.77,1.84,5.65,6.66
"PHX",86,3822,3789,161,146,50,738,67,96,0,0,240053,27041,26769,50.2,2.41,2.19,6.66,9.01
"NYR",87,3687,3864,153,147,51,751,45,105,0,0,248373,28285,24955,48.8,2.22,2.13,6.49,6.49
"NYI",82,3357,3920,138,174,50,776,53,139,0,0,226530,27499,28897,46.1,2.19,2.77,6.55,6.6
"TBL",100,4296,4208,190,183,85,1014,53,103,0,0,274288,35723,33861,50.5,2.49,2.4,8.57,5.63
"STL",82,3637,3327,161,160,51,737,51,82,0,0,232663,25355,24370,52.2,2.49,2.48,7.24,7.53
"NSH",94,3864,3994,175,148,45,796,52,107,0,0,268515,27705,28828,49.2,2.35,1.98,5.85,6.49
"VAN",107,4934,4459,199,165,89,1091,61,158,0,0,302715,33433,36843,52.5,2.37,1.96,9.58,5.96
"LAK",88,3800,3645,161,151,51,895,40,83,0,0,248408,29318,26209,51,2.33,2.19,6.26,5.49
"FLA",82,3652,3607,139,159,34,689,40,78,0,0,234276,24160,24361,50.3,2.14,2.44,5.07,5.91
