"category","pos_group","age_int","mean_delta","n","curve_value"
"defence_g","Defensemen",18,0.129859694862179,8,0.0176654252924566
"defence_g","Defensemen",19,0.0645541178372293,34,0.0822195431296859
"defence_g","Defensemen",20,0.00948987095365264,73,0.0917094140833385
"defence_g","Defensemen",21,0.0254297947344819,114,0.11713920881782
"defence_g","Defensemen",22,-0.0413363233240194,180,0.075802885493801
"defence_g","Defensemen",23,-0.0670246744703007,205,0.00877821102350034
"defence_g","Defensemen",24,0.0389151113592283,211,0.0476933223827287
"defence_g","Defensemen",25,-0.040882700728688,222,0.00681062165404062
"defence_g","Defensemen",26,-0.0162946894667807,224,-0.0094840678127401
"defence_g","Defensemen",27,0.0094840678127401,212,0
"defence_g","Defensemen",28,-0.0299685416900749,186,-0.0299685416900749
"defence_g","Defensemen",29,0.0530989068303587,173,0.0231303651402838
"defence_g","Defensemen",30,-0.0143321908299231,149,0.00879817431036068
"defence_g","Defensemen",31,-0.0125054856277001,123,-0.00370731131733945
"defence_g","Defensemen",32,-0.0511462819674037,105,-0.0548535932847431
"defence_g","Defensemen",33,-0.120322582076053,86,-0.175176175360796
"defence_g","Defensemen",34,0.071849602005443,57,-0.103326573355353
"defence_g","Defensemen",35,0.0618809950214215,43,-0.0414455783339316
"defence_g","Defensemen",36,-0.0335966206218528,30,-0.0750421989557844
"defence_g","Defensemen",37,0.0185635221094545,18,-0.0564786768463299
"defence_g","Defensemen",38,-0.446568427390477,9,-0.503047104236807
"defence_g","Defensemen",39,0.645891165359058,2,0.142844061122251
"defence_g","Defensemen",40,-0.022203509000452,2,0.120640552121799
"defence_g","Defensemen",41,0.325714562156736,1,0.446355114278535
"defence_g","Defensemen",42,0.122163167940017,1,0.568518282218552
"defence_g","Defensemen",43,0.223510807164249,1,0.792029089382801
"defence_g","Forwards",18,0.143324651331382,31,0.14277866090759
"defence_g","Forwards",19,-0.0431414881462527,84,0.0996371727613377
"defence_g","Forwards",20,-0.0546179310732807,141,0.0450192416880571
"defence_g","Forwards",21,-0.00743703319750964,217,0.0375822084905474
"defence_g","Forwards",22,-0.0344122786338759,310,0.0031699298566715
"defence_g","Forwards",23,0.0210106200480676,382,0.0241805499047391
"defence_g","Forwards",24,-0.00483130809781281,400,0.0193492418069263
"defence_g","Forwards",25,-0.0176104076055288,401,0.00173883420139745
"defence_g","Forwards",26,-0.0159047805056444,396,-0.0141659463042469
"defence_g","Forwards",27,0.0141659463042469,377,0
"defence_g","Forwards",28,-0.0485442623272602,343,-0.0485442623272602
"defence_g","Forwards",29,0.133290600118049,284,0.0847463377907884
"defence_g","Forwards",30,-0.036652617271644,264,0.0480937205191444
"defence_g","Forwards",31,0.0524369864398901,211,0.100530706959035
"defence_g","Forwards",32,0.0267002091464258,157,0.12723091610546
"defence_g","Forwards",33,-0.107998589702818,125,0.0192323264026425
"defence_g","Forwards",34,0.174853699845925,95,0.194086026248567
"defence_g","Forwards",35,0.0346452641284592,69,0.228731290377026
"defence_g","Forwards",36,-0.152537655581934,37,0.0761936347950924
"defence_g","Forwards",37,0.186474850594511,25,0.262668485389603
"defence_g","Forwards",38,0.132092262184036,14,0.394760747573639
"defence_g","Forwards",39,-0.0209890835144516,6,0.373771664059188
"defence_g","Forwards",40,0.248305321198776,6,0.622076985257964
"defence_g","Forwards",41,-0.384769363239768,2,0.237307622018196
"defence_g","Forwards",42,0.160735327840428,2,0.398042949858624
"defence_g","Forwards",43,0.666253407609691,1,1.06429635746831
"defence_xg","Defensemen",18,-0.00292221429485752,8,-0.00665716039918689
"defence_xg","Defensemen",19,0.0113649526035075,34,0.00470779220432061
"defence_xg","Defensemen",20,0.00325710184986241,73,0.00796489405418302
"defence_xg","Defensemen",21,-0.00276494268463607,114,0.00519995136954694
"defence_xg","Defensemen",22,-0.000843259579816231,180,0.00435669178973071
"defence_xg","Defensemen",23,0.000525713277998076,205,0.00488240506772879
"defence_xg","Defensemen",24,-0.00514360070524779,211,-0.000261195637518997
"defence_xg","Defensemen",25,0.000311395625943064,222,5.01999884240665e-05
"defence_xg","Defensemen",26,0.000224616522718279,224,0.000274816511142346
"defence_xg","Defensemen",27,-0.000274816511142346,212,0
"defence_xg","Defensemen",28,0.00624750872689971,186,0.00624750872689971
"defence_xg","Defensemen",29,-0.00134949224782603,173,0.00489801647907368
"defence_xg","Defensemen",30,0.000265693447371754,149,0.00516370992644544
"defence_xg","Defensemen",31,0.000393244114485485,123,0.00555695404093092
"defence_xg","Defensemen",32,0.00999673208854969,105,0.0155536861294806
"defence_xg","Defensemen",33,-0.00363719872831703,86,0.0119164874011636
"defence_xg","Defensemen",34,0.00691877368987471,57,0.0188352610910383
"defence_xg","Defensemen",35,-0.00524297077871501,43,0.0135922903123233
"defence_xg","Defensemen",36,-0.00673476901017944,30,0.00685752130214383
"defence_xg","Defensemen",37,0.00461398988837434,18,0.0114715111905182
"defence_xg","Defensemen",38,-0.0349610403698348,9,-0.0234895291793166
"defence_xg","Defensemen",39,0.0527159335282517,2,0.0292264043489351
"defence_xg","Defensemen",40,0.0050563584974832,2,0.0342827628464183
"defence_xg","Defensemen",41,0.0858686039186161,1,0.120151366765034
"defence_xg","Defensemen",42,0.0307793620016934,1,0.150930728766728
"defence_xg","Defensemen",43,-0.106937298017204,1,0.0439934307495238
"defence_xg","Forwards",18,0.0222125648443164,31,0.0179869932005541
"defence_xg","Forwards",19,-0.00688083381592829,84,0.0111061593846258
"defence_xg","Forwards",20,-0.00109879454647197,141,0.0100073648381539
"defence_xg","Forwards",21,-0.0103525910995026,217,-0.000345226261348763
"defence_xg","Forwards",22,-0.00285261989803197,310,-0.00319784615938074
"defence_xg","Forwards",23,0.00203491676583621,382,-0.00116292939354452
"defence_xg","Forwards",24,0.00121726769707167,400,5.43383035271523e-05
"defence_xg","Forwards",25,0.00171417583332239,401,0.00176851413684954
"defence_xg","Forwards",26,-0.00131655164485088,396,0.00045196249199865
"defence_xg","Forwards",27,-0.00045196249199865,377,0
"defence_xg","Forwards",28,-0.000664148556328256,343,-0.000664148556328254
"defence_xg","Forwards",29,0.00885282687930894,284,0.00818867832298069
"defence_xg","Forwards",30,-0.00408184254948857,264,0.00410683577349211
"defence_xg","Forwards",31,0.00105168655858714,211,0.00515852233207925
"defence_xg","Forwards",32,0.00862117870888311,157,0.0137797010409624
"defence_xg","Forwards",33,-0.00837716549949864,125,0.00540253554146372
"defence_xg","Forwards",34,0.00538664053651915,95,0.0107891760779829
"defence_xg","Forwards",35,3.08267289514249e-05,69,0.0108200028069343
"defence_xg","Forwards",36,-0.00455086229426711,37,0.00626914051266718
"defence_xg","Forwards",37,-0.00578514779259699,25,0.000483992720070187
"defence_xg","Forwards",38,-0.00340487865658047,14,-0.00292088593651028
"defence_xg","Forwards",39,-0.0357436940255885,6,-0.0386645799620988
"defence_xg","Forwards",40,0.00504637112439728,6,-0.0336182088377015
"defence_xg","Forwards",41,0.0499440453782264,2,0.0163258365405249
"defence_xg","Forwards",42,0.0411241639564607,2,0.0574500004969856
"defence_xg","Forwards",43,0.0289466033000225,1,0.086396603797008
"finishing","Defensemen",18,-0.103563455927537,3,0.0675043031423218
"finishing","Defensemen",19,-0.0719685715618455,9,-0.00446426841952374
"finishing","Defensemen",20,0.030358132241906,24,0.0258938638223823
"finishing","Defensemen",21,0.0119345633312088,31,0.0378284271535911
"finishing","Defensemen",22,-0.00754348963490748,45,0.0302849375186836
"finishing","Defensemen",23,-0.0258287002815969,56,0.00445623723708666
"finishing","Defensemen",24,-0.00566877631546264,57,-0.00121253907837598
"finishing","Defensemen",25,0.0263852715231292,59,0.0251727324447532
"finishing","Defensemen",26,-0.0210196975535384,63,0.00415303489121482
"finishing","Defensemen",27,-0.00415303489121482,59,0
"finishing","Defensemen",28,0.00523251990940467,54,0.00523251990940467
"finishing","Defensemen",29,0.030398462437008,52,0.0356309823464127
"finishing","Defensemen",30,-0.00328362096250532,33,0.0323473613839074
"finishing","Defensemen",31,-0.00222598996007634,27,0.030121371423831
"finishing","Defensemen",32,-0.0270891176693085,19,0.00303225375452248
"finishing","Defensemen",33,-0.066967706000928,14,-0.0639354522464056
"finishing","Defensemen",34,-0.0308807235153587,11,-0.0948161757617642
"finishing","Defensemen",35,0.0832297270144322,9,-0.011586448747332
"finishing","Defensemen",36,-0.0908400721287762,8,-0.102426520876108
"finishing","Defensemen",37,-0.00827846926450436,5,-0.110704990140613
"finishing","Defensemen",38,-0.00265459860348003,2,-0.113359588744093
"finishing","Defensemen",39,-0.0450740407492643,1,-0.158433629493357
"finishing","Defensemen",40,-0.0321922040914083,2,-0.190625833584765
"finishing","Forwards",18,0.0657693959873853,12,0.0818836067747428
"finishing","Forwards",19,-0.0247885433562775,47,0.0570950634184653
"finishing","Forwards",20,-0.00157401761870011,77,0.0555210457997651
"finishing","Forwards",21,0.0125845259772337,107,0.0681055717769988
"finishing","Forwards",22,0.0217382515864092,141,0.089843823363408
"finishing","Forwards",23,-0.0236060396992188,167,0.0662377836641892
"finishing","Forwards",24,-0.0336398525476368,189,0.0325979311165524
"finishing","Forwards",25,-0.00530430099375655,199,0.0272936301227958
"finishing","Forwards",26,-0.0161555407266975,191,0.0111380893960983
"finishing","Forwards",27,-0.0111380893960983,171,0
"finishing","Forwards",28,-0.0229541525695379,162,-0.0229541525695379
"finishing","Forwards",29,-0.00361190864716629,131,-0.0265660612167041
"finishing","Forwards",30,-0.0237655563022397,123,-0.0503316175189438
"finishing","Forwards",31,-0.0015660176807562,101,-0.0518976351997
"finishing","Forwards",32,-0.0336304693337676,67,-0.0855281045334677
"finishing","Forwards",33,-0.0228370664615969,52,-0.108365170995065
"finishing","Forwards",34,0.00339755492991574,46,-0.104967616065149
"finishing","Forwards",35,-0.0509073002637146,33,-0.155874916328863
"finishing","Forwards",36,0.023766178429755,16,-0.132108737899108
"finishing","Forwards",37,-0.112674678995718,9,-0.244783416894827
"finishing","Forwards",38,-0.166222219672983,8,-0.41100563656781
"finishing","Forwards",39,0.0419089415060756,2,-0.369096695061734
"finishing","Forwards",40,-0.0926856117022008,2,-0.461782306763935
"finishing","Forwards",41,0.160327837125204,1,-0.301454469638731
"finishing","Forwards",42,0.363297404720685,1,0.0618429350819535
"finishing","Forwards",43,-0.479977180760827,1,-0.418134245678874
"offence_g","Defensemen",18,0.0184708133937336,8,0.244939261310338
"offence_g","Defensemen",19,-0.188252601212046,34,0.0566866600982918
"offence_g","Defensemen",20,0.102952392060965,73,0.159639052159257
"offence_g","Defensemen",21,-0.0556006371212595,114,0.104038415037997
"offence_g","Defensemen",22,-0.0506282981853259,180,0.0534101168526713
"offence_g","Defensemen",23,0.0168009299502281,205,0.0702110468028994
"offence_g","Defensemen",24,-0.0343684956137565,211,0.0358425511891428
"offence_g","Defensemen",25,-0.0321560371063677,222,0.00368651408277512
"offence_g","Defensemen",26,-0.0269528706253227,224,-0.0232663565425476
"offence_g","Defensemen",27,0.0232663565425476,212,0
"offence_g","Defensemen",28,-0.0415730833475112,186,-0.0415730833475112
"offence_g","Defensemen",29,0.00052505174115715,173,-0.0410480316063541
"offence_g","Defensemen",30,0.00993260750428189,149,-0.0311154241020722
"offence_g","Defensemen",31,-0.180676630761382,123,-0.211792054863455
"offence_g","Defensemen",32,0.0654813692161348,105,-0.14631068564732
"offence_g","Defensemen",33,-0.0228238091386252,86,-0.169134494785945
"offence_g","Defensemen",34,0.0221874395419636,57,-0.146947055243981
"offence_g","Defensemen",35,0.0201746757205379,43,-0.126772379523443
"offence_g","Defensemen",36,-0.0683952619898683,30,-0.195167641513312
"offence_g","Defensemen",37,0.0719185605013614,18,-0.12324908101195
"offence_g","Defensemen",38,-0.0330935707517972,9,-0.156342651763748
"offence_g","Defensemen",39,-0.112641617150452,2,-0.2689842689142
"offence_g","Defensemen",40,0.10000380717928,2,-0.168980461734919
"offence_g","Defensemen",41,-0.0835027912364456,1,-0.252483252971365
"offence_g","Defensemen",42,-0.802443601544666,1,-1.05492685451603
"offence_g","Defensemen",43,0.41922104039822,1,-0.635705814117811
"offence_g","Forwards",18,-0.0542795553252307,31,0.0664051437441689
"offence_g","Forwards",19,0.067623307405257,84,0.134028451149426
"offence_g","Forwards",20,0.141211061449424,141,0.27523951259885
"offence_g","Forwards",21,-0.104585158110375,217,0.170654354488475
"offence_g","Forwards",22,0.0835796664543484,310,0.254234020942823
"offence_g","Forwards",23,-0.0302947294769644,382,0.223939291465859
"offence_g","Forwards",24,-0.0683995150243263,400,0.155539776441533
"offence_g","Forwards",25,-0.0430930603913679,401,0.112446716050165
"offence_g","Forwards",26,-0.0524039433627002,396,0.0600427726874645
"offence_g","Forwards",27,-0.0600427726874645,377,0
"offence_g","Forwards",28,-0.0819926251476684,343,-0.0819926251476684
"offence_g","Forwards",29,-0.0703948745757964,284,-0.152387499723465
"offence_g","Forwards",30,-0.0296054217761008,264,-0.181992921499566
"offence_g","Forwards",31,-0.0670557547153018,211,-0.249048676214867
"offence_g","Forwards",32,-0.224195111743971,157,-0.473243787958839
"offence_g","Forwards",33,-0.154024503981353,125,-0.627268291940191
"offence_g","Forwards",34,-0.0322736274593061,95,-0.659541919399497
"offence_g","Forwards",35,-0.140957083961399,69,-0.800499003360896
"offence_g","Forwards",36,-0.210030638750114,37,-1.01052964211101
