"player_id","team_abbrev","gp_onice","cf_5v5","ca_5v5","gf_5v5","ga_5v5","ev_goals","ev_assists","pp_goals","pp_assists","pk_ga","pp_shots","pk_shots_against","pp_gf_onice","pk_ga_onice","xg_for_5v5","xg_against_5v5","pen_taken","pen_drawn","toi_5v5_sec","toi_pp_sec","toi_pk_sec","cf_pct_5v5","gf_per60_5v5","ga_per60_5v5","ev_points_per60","pp_points_per60","pk_ga_per60","pk_save_pct","pp_gf_onice_per60","pk_ga_onice_per60","xg_for_per60_5v5","xg_against_per60_5v5","toi_all_tracked_sec","pen_taken_per60","pen_drawn_per60","penalty_diff_per60"
"8462196","TOR",52,585,745,27,20,1,5,0,0,0,9,179,1,14,0,0,17,4,43956,945,6346,44,2.21,1.64,0.49,0,0,1,3.81,7.94,0,0,51247,1.19,0.28,-0.91
"8467334","MTL",58,289,521,7,11,1,3,0,0,0,3,229,0,14,0,0,6,7,30409,307,5644,35.7,0.83,1.3,0.47,0,0,1,0,8.93,0,0,36360,0.59,0.69,0.1
"8467496","MTL",93,1647,1581,69,50,5,15,4,22,3,503,331,34,25,0,0,18,8,100884,13915,11591,51,2.46,1.78,0.71,6.73,0.93,0.9909,8.8,7.76,0,0,126390,0.51,0.23,-0.28
"8468478","MTL",31,291,346,14,16,0,4,0,0,0,0,165,0,9,0,0,3,2,20911,173,4094,45.7,2.41,2.75,0.69,0,0,1,0,7.91,0,0,25178,0.43,0.29,-0.14
"8469521","MTL",94,1310,1331,49,46,15,22,7,8,0,365,273,19,18,0,0,21,23,78689,11779,9837,49.6,2.24,2.1,1.69,4.58,0,1,5.81,6.59,0,0,100305,0.75,0.83,0.08
"8469707","MTL",64,721,700,30,23,6,14,2,1,3,198,0,10,0,0,0,11,13,47171,6980,699,50.7,2.29,1.76,1.53,1.55,15.45,NA,5.16,0,0,0,54850,0.72,0.85,0.13
"8470104","MTL",84,1129,1305,49,41,6,9,0,0,0,87,276,1,18,0,0,15,8,78086,5013,9110,46.4,2.26,1.89,0.69,0,0,1,0.72,7.11,0,0,92209,0.59,0.31,-0.28
"8470207","TOR",55,592,753,34,35,8,9,2,1,5,154,4,6,1,0,0,13,8,40467,6900,741,44,3.02,3.11,1.51,1.57,24.29,-0.25,3.13,4.86,0,0,48108,0.97,0.6,-0.37
"8470602","TOR",70,997,1208,49,57,1,10,2,13,5,402,363,28,22,0,0,39,39,70548,11023,8882,45.2,2.5,2.91,0.56,4.9,2.03,0.9862,9.14,8.92,0,0,90453,1.55,1.55,0
"8470920","TOR",61,592,703,24,28,8,5,1,0,5,155,0,6,0,0,0,28,12,41228,6878,667,45.7,2.1,2.44,1.14,0.52,26.99,NA,3.14,0,0,0,48773,2.07,0.89,-1.18
