"team_abbrev","gp_onice","cf_5v5","ca_5v5","gf_5v5","ga_5v5","pp_goals","pp_shots","pk_goals_against","pk_shots_against","xg_for","xg_against","toi_5v5_sec","toi_pp_sec","toi_pk_sec","cf_pct_5v5","gf_per60_5v5","ga_per60_5v5","pp_goals_per60","pk_ga_per60"
"WPG",99,4730,4397,207,173,74,866,57,111,0,0,289875,27880,29634,51.8,2.57,2.15,9.56,6.92
"TOR",89,4286,4345,201,176,59,739,49,87,0,0,266589,21836,24491,49.7,2.71,2.38,9.73,7.2
"PIT",94,4487,4129,189,197,77,795,59,96,0,0,274844,26797,27312,52.1,2.48,2.58,10.34,7.78
"STL",82,3896,3638,150,137,37,683,44,100,0,0,242729,22991,20683,51.7,2.22,2.03,5.79,7.66
"EDM",82,4047,3953,163,176,31,639,57,118,0,0,245973,21286,23505,50.6,2.39,2.58,5.24,8.73
"CGY",82,4177,3630,147,158,42,820,49,110,0,0,236931,24948,25969,53.5,2.23,2.4,6.06,6.79
"SJS",92,4530,4430,176,180,64,928,41,113,0,0,273173,28149,23548,50.6,2.32,2.37,8.19,6.27
"PHI",88,3882,3940,166,166,53,827,57,103,0,0,258033,26233,22013,49.6,2.32,2.32,7.27,9.32
"BOS",94,4469,3941,191,162,73,808,46,105,0,0,277079,26174,25578,53.1,2.48,2.1,10.04,6.47
"NSH",95,4548,4266,194,152,62,819,60,139,0,0,274754,29095,31766,51.6,2.54,1.99,7.67,6.8
"BUF",82,3379,3719,119,176,47,743,49,112,0,0,240177,24633,21491,47.6,1.78,2.64,6.87,8.21
"MTL",82,3947,3862,130,158,48,738,67,94,0,0,241639,22769,23420,50.5,1.94,2.35,7.59,10.3
"NYR",82,3532,4159,150,181,50,680,45,96,0,0,241899,23835,24384,45.9,2.23,2.69,7.55,6.64
"COL",88,3743,4148,162,155,67,760,48,86,0,0,251291,27643,27036,47.4,2.32,2.22,8.73,6.39
"OTT",82,3684,4124,152,198,38,635,54,121,0,0,242791,23129,22086,47.2,2.25,2.94,5.91,8.8
"WSH",106,4736,5096,222,191,74,867,68,114,0,0,314044,29443,32111,48.2,2.54,2.19,9.05,7.62
"DET",82,3575,3746,149,166,38,598,54,126,0,0,243180,20855,24615,48.8,2.21,2.46,6.56,7.9
"MIN",87,3631,4126,166,156,51,690,51,94,0,0,255628,23012,25041,46.8,2.34,2.2,7.98,7.33
"CHI",82,4198,3823,157,174,42,746,49,100,0,0,240480,24630,22396,52.3,2.35,2.6,6.14,7.88
"ANA",86,3867,4058,159,147,40,642,52,156,0,0,251182,21051,29744,48.8,2.28,2.11,6.84,6.29
"ARI",82,3774,4073,140,164,41,666,44,82,0,0,245372,23352,19816,48.1,2.05,2.41,6.32,7.99
"LAK",86,3900,3923,154,140,48,732,39,110,0,0,253650,23304,25573,49.9,2.19,1.99,7.42,5.49
"CBJ",88,4376,4132,182,160,42,643,58,112,0,0,267244,24079,23168,51.4,2.45,2.16,6.28,9.01
"NYI",82,3742,4138,177,190,55,647,62,90,0,0,243626,23511,22009,47.5,2.62,2.81,8.42,10.14
"TBL",99,4658,4334,223,174,81,941,73,92,0,0,286958,31190,28483,51.8,2.8,2.18,9.35,9.23
"FLA",82,3802,3928,166,168,45,777,44,116,0,0,241031,23552,21050,49.2,2.48,2.51,6.88,7.52
"DAL",82,3726,3576,148,135,47,722,53,105,0,0,237528,23892,26655,51,2.24,2.05,7.08,7.16
"VGK",102,4889,4705,214,184,61,964,58,141,0,0,303975,29766,28796,51,2.53,2.18,7.38,7.25
"NJD",87,3774,4011,166,176,57,718,52,132,0,0,252726,25352,27831,48.5,2.36,2.51,8.09,6.73
"CAR",82,4259,3558,155,179,44,747,43,56,0,0,248768,23004,16396,54.5,2.24,2.59,6.89,9.44
"VAN",82,3497,3833,138,164,53,645,59,126,0,0,240551,22792,23583,47.7,2.07,2.45,8.37,9.01
