"team_abbrev","gp_onice","cf_5v5","ca_5v5","gf_5v5","ga_5v5","pp_goals","pp_shots","pk_goals_against","pk_shots_against","xg_for","xg_against","toi_5v5_sec","toi_pp_sec","toi_pk_sec","cf_pct_5v5","gf_per60_5v5","ga_per60_5v5","pp_goals_per60","pk_ga_per60"
"TBL",87,4103,4013,179,201,73,750,41,118,258.535143212357,244.746564097455,257028,23394,22233,50.6,2.51,2.82,11.23,6.64
"NSH",88,4310,4103,175,161,60,847,58,94,270.375767233374,246.357979257387,256136,26692,23110,51.2,2.46,2.26,8.09,9.04
"PIT",82,4196,3993,179,172,40,826,42,92,264.029017583904,248.847501424432,239847,26788,21561,51.2,2.69,2.58,5.38,7.01
"CHI",82,3385,4360,118,202,39,608,55,90,200.532444766213,259.742253160366,244008,21353,20697,43.7,1.74,2.98,6.58,9.57
"VGK",89,4368,4632,185,174,53,714,48,101,254.4377132878,249.999084528012,266802,24510,21975,48.5,2.5,2.35,7.78,7.86
"SEA",82,4037,3830,144,146,49,701,44,79,229.537825353153,225.779342901384,244257,22194,20687,51.3,2.12,2.15,7.95,7.66
"CAR",93,5432,3736,191,166,70,832,43,143,312.454059581374,242.917375860561,275976,24849,27300,59.2,2.49,2.17,10.14,5.67
"OTT",82,3982,3912,163,192,51,836,60,101,248.648025353861,233.276155841391,239088,26310,21767,50.4,2.45,2.89,6.98,9.92
"TOR",89,4451,4280,211,178,58,804,59,105,292.095827663754,262.733789100108,264160,24611,24073,51,2.88,2.43,8.48,8.82
"MTL",82,3587,4272,161,164,43,634,64,86,239.345594212151,290.435331487854,239566,24588,25027,45.6,2.42,2.46,6.3,9.21
"BOS",95,4106,4665,194,157,59,771,52,128,273.712859818523,283.217462065135,276252,26333,29258,46.8,2.53,2.05,8.07,6.4
"CGY",82,4126,3932,167,181,44,736,47,118,237.972464669758,241.344435548323,239760,23235,22053,51.2,2.51,2.72,6.82,7.67
"WPG",87,4248,4123,190,138,47,680,56,85,239.49614685362,242.002453129011,258171,23720,21679,50.7,2.65,1.92,7.13,9.3
"LAK",87,4457,3778,178,155,52,723,48,102,260.274081521755,241.632058436953,254999,23128,25947,54.1,2.51,2.19,8.09,6.66
"COL",93,4858,4340,223,191,79,887,61,109,288.121584067791,264.784691901121,273584,27980,27222,52.8,2.93,2.51,10.16,8.07
"VAN",95,4317,4134,209,160,62,866,60,103,271.478480248537,257.424150111998,276608,27126,27198,51.1,2.72,2.08,8.23,7.94
"EDM",107,5466,4694,246,205,86,935,56,160,370.83028526578,286.192974218036,316532,27060,30779,53.8,2.8,2.33,11.44,6.55
"BUF",82,3924,3821,174,159,36,609,49,103,231.474566821067,245.711172117968,243064,20279,22126,50.7,2.58,2.35,6.39,7.97
"NYR",98,4725,4892,192,192,72,913,45,149,292.678033584059,286.270331325301,289128,26009,29419,49.1,2.39,2.39,9.97,5.51
"CBJ",82,4010,4385,175,196,32,680,55,88,229.913235416345,279.485728231171,243683,20285,21978,47.8,2.59,2.9,5.68,9.01
"PHI",82,4105,3853,159,180,28,743,39,144,240.806946322205,222.363532000047,238513,24253,23244,51.6,2.4,2.72,4.16,6.04
"NJD",82,4036,3738,177,185,53,717,44,91,242.396849591052,232.618152371346,239426,22451,23564,51.9,2.66,2.78,8.5,6.72
"DET",82,3552,4176,177,189,58,773,48,86,233.878847739426,257.619294105389,239986,23738,21848,46,2.66,2.84,8.8,7.91
"DAL",101,5292,4823,226,190,67,838,53,119,315.242016119373,271.352435359557,307627,27285,24851,52.3,2.64,2.22,8.84,7.68
"STL",82,3475,4201,151,168,44,707,45,95,228.74828398363,261.323083750205,241553,23818,22145,45.3,2.25,2.5,6.65,7.32
"MIN",82,3713,3767,159,163,61,985,66,77,244.362042654975,229.886475484935,235997,25923,24510,49.6,2.43,2.49,8.47,9.69
"FLA",106,5473,4388,201,157,78,1214,56,170,337.795402102842,272.66306013678,301652,32869,33090,55.5,2.4,1.87,8.54,6.09
"SJS",82,3575,4584,119,226,42,529,61,75,197.292376417201,295.171470593385,244250,19410,23778,43.8,1.75,3.33,7.79,9.24
"ARI",82,3723,3950,171,172,52,601,63,94,230.022764856214,254.319837693154,240325,22180,24107,48.5,2.56,2.58,8.44,9.41
"WSH",86,3823,4332,148,182,48,711,54,72,237.193874206801,258.452356288748,255215,25587,22699,46.9,2.09,2.57,6.75,8.56
"NYI",87,4152,4780,174,167,48,647,66,69,248.818850034819,265.175091774392,263676,21746,20014,46.5,2.38,2.28,7.95,11.87
"ANA",82,3344,3864,127,174,41,592,87,115,200.400570588594,269.056356830406,232183,20228,29993,46.4,1.97,2.7,7.3,10.44
