"team_abbrev","gp_onice","cf_5v5","ca_5v5","gf_5v5","ga_5v5","pp_goals","pp_shots","pk_goals_against","pk_shots_against","xg_for","xg_against","toi_5v5_sec","toi_pp_sec","toi_pk_sec","cf_pct_5v5","gf_per60_5v5","ga_per60_5v5","pp_goals_per60","pk_ga_per60"
"TBL",87,4103,4013,179,201,73,750,41,118,169.576805727789,166.91988099915,257028,23394,22233,50.6,2.51,2.82,11.23,6.64
"NSH",88,4310,4103,175,161,60,847,58,94,184.208845634828,168.98362129266,256136,26692,23110,51.2,2.46,2.26,8.09,9.04
"PIT",82,4196,3993,179,172,40,826,42,92,178.527071733726,172.14026758878,239847,26788,21561,51.2,2.69,2.58,5.38,7.01
"CHI",82,3385,4360,118,202,39,608,55,90,135.43128429733,189.700279500685,244008,21353,20697,43.7,1.74,2.98,6.58,9.57
"VGK",89,4368,4632,185,174,53,714,48,101,177.699109078647,172.776157940563,266802,24510,21975,48.5,2.5,2.35,7.78,7.86
"SEA",82,4037,3830,144,146,49,701,44,79,157.140761614428,150.505491594042,244257,22194,20687,51.3,2.12,2.15,7.95,7.66
"CAR",93,5432,3736,191,166,70,832,43,143,214.051466653633,166.097523989301,275976,24849,27300,59.2,2.49,2.17,10.14,5.67
"OTT",82,3982,3912,163,192,51,836,60,101,157.929474070697,162.325456981634,239088,26310,21767,50.4,2.45,2.89,6.98,9.92
"TOR",89,4451,4280,211,178,58,804,59,105,190.946129215707,176.376539737073,264160,24611,24073,51,2.88,2.43,8.48,8.82
"MTL",82,3587,4272,161,164,43,634,64,86,154.234677626373,179.55474274997,239566,24588,25027,45.6,2.42,2.46,6.3,9.21
"BOS",95,4106,4665,194,157,59,771,52,128,182.259055334653,183.361605003651,276252,26333,29258,46.8,2.53,2.05,8.07,6.4
"CGY",82,4126,3932,167,181,44,736,47,118,160.310607598076,162.330941035296,239760,23235,22053,51.2,2.51,2.72,6.82,7.67
"WPG",87,4248,4123,190,138,47,680,56,85,177.032328428046,167.024717349414,258171,23720,21679,50.7,2.65,1.92,7.13,9.3
"LAK",87,4457,3778,178,155,52,723,48,102,180.735831479309,151.478764833446,254999,23128,25947,54.1,2.51,2.19,8.09,6.66
"COL",93,4858,4340,223,191,79,887,61,109,198.101560980343,175.181668142817,273584,27980,27222,52.8,2.93,2.51,10.16,8.07
"VAN",95,4317,4134,209,160,62,866,60,103,182.740972073982,167.852199370594,276608,27126,27198,51.1,2.72,2.08,8.23,7.94
"EDM",107,5466,4694,246,205,86,935,56,160,257.63238864817,200.662859831718,316532,27060,30779,53.8,2.8,2.33,11.44,6.55
"BUF",82,3924,3821,174,159,36,609,49,103,163.875286969793,170.386402161821,243064,20279,22126,50.7,2.58,2.35,6.39,7.97
"NYR",98,4725,4892,192,192,72,913,45,149,188.397184207366,202.778013485236,289128,26009,29419,49.1,2.39,2.39,9.97,5.51
"CBJ",82,4010,4385,175,196,32,680,55,88,159.984513185162,192.860618019185,243683,20285,21978,47.8,2.59,2.9,5.68,9.01
"PHI",82,4105,3853,159,180,28,743,39,144,164.965311205568,146.615501832595,238513,24253,23244,51.6,2.4,2.72,4.16,6.04
"NJD",82,4036,3738,177,185,53,717,44,91,170.060354802175,162.50162627254,239426,22451,23564,51.9,2.66,2.78,8.5,6.72
"DET",82,3552,4176,177,189,58,773,48,86,146.088270323555,173.365061602264,239986,23738,21848,46,2.66,2.84,8.8,7.91
"DAL",101,5292,4823,226,190,67,838,53,119,216.039696600303,185.903757469205,307627,27285,24851,52.3,2.64,2.22,8.84,7.68
"STL",82,3475,4201,151,168,44,707,45,95,147.416381278817,183.382771803241,241553,23818,22145,45.3,2.25,2.5,6.65,7.32
"MIN",82,3713,3767,159,163,61,985,66,77,149.234771265998,142.573035659909,235997,25923,24510,49.6,2.43,2.49,8.47,9.69
"FLA",106,5473,4388,201,157,78,1214,56,170,210.298251946791,178.605021211639,301652,32869,33090,55.5,2.4,1.87,8.54,6.09
"SJS",82,3575,4584,119,226,42,529,61,75,138.588175257784,200.969458911582,244250,19410,23778,43.8,1.75,3.33,7.79,9.24
"ARI",82,3723,3950,171,172,52,601,63,94,160.917272909704,173.335706496611,240325,22180,24107,48.5,2.56,2.58,8.44,9.41
"WSH",86,3823,4332,148,182,48,711,54,72,159.836017746333,172.863575216572,255215,25587,22699,46.9,2.09,2.57,6.75,8.56
"NYI",87,4152,4780,174,167,48,647,66,69,173.364526051213,181.123905753266,263676,21746,20014,46.5,2.38,2.28,7.95,11.87
"ANA",82,3344,3864,127,174,41,592,87,115,135.78523856125,162.872448671085,232183,20228,29993,46.4,1.97,2.7,7.3,10.44
