"team_abbrev","gp_onice","cf_5v5","ca_5v5","gf_5v5","ga_5v5","pp_goals","pp_shots","pk_goals_against","pk_shots_against","xg_for","xg_against","toi_5v5_sec","toi_pp_sec","toi_pk_sec","cf_pct_5v5","gf_per60_5v5","ga_per60_5v5","pp_goals_per60","pk_ga_per60"
"PHI",59,2617,2438,116,142,32,467,46,84,108.565266477061,110.527620413923,176501,16580,16367,51.8,2.37,2.9,6.95,10.12
"NYI",84,3572,3990,168,148,41,569,40,93,169.02390612103,168.1201213366,260514,22193,20938,47.2,2.32,2.05,6.65,6.88
"VGK",83,4116,3489,185,140,39,798,32,104,184.206415732449,153.924848079274,248016,23843,19981,54.1,2.69,2.03,5.89,5.77
"VAN",59,2398,2859,107,132,26,463,37,64,108.201891962264,138.418626356928,170776,16773,17550,45.6,2.26,2.78,5.58,7.59
"DAL",69,3035,2867,122,115,42,507,43,70,129.614359228639,117.617644636368,208161,18931,18697,51.4,2.11,1.99,7.99,8.28
"COL",68,3429,2535,158,112,58,699,34,79,144.245899295085,103.917780519463,197044,22166,19394,57.5,2.89,2.05,9.42,6.31
"TBL",91,3968,3656,183,149,72,706,42,114,183.788482878648,166.727100931108,269176,24263,27111,52,2.45,1.99,10.68,5.58
"PIT",62,2719,2560,138,118,39,392,38,66,118.630097097426,117.421538114373,188750,14665,15743,51.5,2.63,2.25,9.57,8.69
"CHI",56,2236,2633,100,125,37,419,34,58,103.919951205491,125.151009277906,167608,15474,14355,45.9,2.15,2.68,8.61,8.53
"TOR",63,2781,2657,144,104,34,498,32,82,142.677135098784,114.683846882719,189385,15930,14694,51.1,2.74,1.98,7.68,7.84
"MTL",77,3628,3253,138,142,37,442,41,106,147.839093153249,135.92761629395,233080,18158,20482,52.7,2.13,2.19,7.34,7.21
"EDM",60,2664,2744,121,125,49,501,30,62,122.261515866034,120.209815525042,183135,15842,15100,49.3,2.38,2.46,11.13,7.15
"STL",60,2388,2661,106,120,37,452,39,54,101.803379199933,117.533811125613,178656,15022,15516,47.3,2.14,2.42,8.87,9.05
"BUF",56,2274,2607,87,137,30,333,30,41,102.286719204276,120.91821798397,170884,12988,12658,46.6,1.83,2.89,8.32,8.53
"WSH",61,2665,2612,138,117,40,453,31,61,112.930733106332,108.444443996181,182033,15404,16910,50.5,2.73,2.31,9.35,6.6
"NJD",56,2439,2389,102,123,21,354,42,45,112.004842026567,114.332702545682,168383,14075,13368,50.5,2.18,2.63,5.37,11.31
"BOS",67,3160,2671,127,110,46,555,34,102,129.813256117632,112.621936474228,198518,20079,19325,54.2,2.3,1.99,8.25,6.33
"NYR",56,2183,2456,115,106,37,502,30,72,102.194384016271,109.068945730338,164126,15952,16105,47.1,2.52,2.33,8.35,6.71
"FLA",62,2756,2385,126,105,45,615,41,69,129.262970180949,105.704559487931,177346,21080,15948,53.6,2.56,2.13,7.69,9.26
"DET",56,2101,2523,87,111,17,349,33,50,91.6684282108909,111.026681899326,166108,15002,13611,45.4,1.89,2.41,4.08,8.73
"CAR",67,3243,2768,125,101,47,548,34,111,148.019669408037,134.180652249488,199690,18758,19909,54,2.25,1.82,9.02,6.15
"NSH",62,2686,2780,116,103,30,470,46,89,114.910120324639,118.812856022851,183394,17422,20189,49.1,2.28,2.02,6.2,8.2
"CBJ",56,2329,2683,96,130,18,242,28,79,97.2540149581619,113.738080760639,172880,10645,13197,46.5,2,2.71,6.09,7.64
"WPG",64,2721,2955,122,114,39,527,31,61,116.363348179031,140.367291427276,195226,16675,15263,47.9,2.25,2.1,8.42,7.31
"CGY",55,2413,2130,106,102,32,439,34,85,107.470775997033,92.4582658211002,158850,15419,16359,53.1,2.4,2.31,7.47,7.48
"ARI",56,2318,2442,98,114,34,411,31,53,98.474079224281,108.889984562993,164400,15895,15150,48.7,2.15,2.5,7.7,7.37
"SJS",56,2387,2600,106,134,21,407,36,97,113.227385159233,115.5183785712,165044,14274,17186,47.9,2.31,2.92,5.3,7.54
"ANA",56,2380,2495,100,122,10,335,33,66,98.7243270427571,115.772112828505,169378,11954,15633,48.8,2.13,2.59,3.01,7.6
"LAK",56,2265,2457,95,119,32,458,26,38,98.209949744225,117.447758175142,164344,15681,15521,48,2.08,2.61,7.35,6.03
"MIN",63,2489,2921,136,122,30,477,33,53,113.7023636261,112.457828980812,186505,17571,16432,46,2.63,2.35,6.15,7.23
"OTT",56,2457,2601,104,130,25,398,36,72,104.516384700022,113.869067531603,164315,16071,16093,48.6,2.28,2.85,5.6,8.05
