"team_abbrev","gp_onice","cf_5v5","ca_5v5","gf_5v5","ga_5v5","pp_goals","pp_shots","pk_goals_against","pk_shots_against","toi_5v5_sec","toi_pp_sec","toi_pk_sec","cf_pct_5v5","gf_per60_5v5","ga_per60_5v5","pp_goals_per60","pk_ga_per60"
"FLA",82,3755,3504,162,181,51,824,52,127,236510,24575,24325,51.7,2.47,2.76,7.47,7.7
"CHI",82,3347,3990,151,198,40,567,38,70,244558,22782,21974,45.6,2.22,2.91,6.32,6.23
"NYR",82,3680,3853,153,156,53,633,50,78,245618,19988,24249,48.9,2.24,2.29,9.55,7.42
"PIT",88,4187,4069,206,184,58,691,46,94,262506,22320,24592,50.7,2.83,2.52,9.35,6.73
"LAK",86,4308,4000,154,149,38,674,60,94,258029,23564,21635,51.9,2.15,2.08,5.81,9.98
"COL",95,5339,4092,243,150,49,851,42,110,278059,28270,26647,56.6,3.15,1.94,6.24,5.67
"TOR",82,3469,4275,171,206,39,546,42,85,245484,18125,21795,44.8,2.51,3.02,7.75,6.94
"MTL",101,4314,4735,218,196,71,781,68,117,295906,26850,30009,47.7,2.65,2.38,9.52,8.16
"WSH",82,3774,3861,179,147,42,661,50,87,238959,23250,24106,49.4,2.7,2.21,6.5,7.47
"BOS",88,3999,4199,191,165,54,716,63,108,256735,23411,26912,48.8,2.68,2.31,8.3,8.43
"EDM",88,4113,4113,191,202,72,668,57,106,266244,22425,21759,50,2.58,2.73,11.56,9.43
"CGY",82,3849,3972,143,176,36,601,46,124,242313,21706,23388,49.2,2.12,2.61,5.97,7.08
"VGK",104,4940,4716,223,217,71,819,48,88,317115,26419,25880,51.2,2.53,2.46,9.67,6.68
"BUF",95,4347,4369,221,181,57,802,48,82,277585,26902,26050,49.9,2.87,2.35,7.63,6.63
"DET",82,3776,3956,142,169,55,720,48,64,242709,22815,19262,48.8,2.11,2.51,8.68,8.97
"TBL",89,4163,3629,204,163,55,748,49,88,259603,24084,26049,53.4,2.83,2.26,8.22,6.77
"OTT",86,4001,3626,182,170,63,754,58,77,251748,25535,22274,52.5,2.6,2.43,8.88,9.37
"PHI",92,3668,4158,175,163,39,734,61,112,272432,27531,25817,46.9,2.31,2.15,5.1,8.51
"NYI",82,3713,3862,145,159,39,620,41,95,241188,23558,19321,49,2.16,2.37,5.96,7.64
"CAR",101,5678,3872,230,188,70,909,51,171,301387,29067,27666,59.5,2.75,2.25,8.67,6.64
"NJD",82,4013,3800,136,183,44,623,43,91,247767,19265,19971,51.4,1.98,2.66,8.22,7.75
"STL",82,3498,3760,164,174,37,482,52,79,246310,20071,20664,48.2,2.4,2.54,6.64,9.06
"MIN",93,4314,4713,193,176,70,861,56,79,280277,27783,25013,47.8,2.48,2.26,9.07,8.06
"NSH",82,3793,3784,151,180,54,639,43,89,239696,21686,22606,50.1,2.27,2.7,8.96,6.85
"CBJ",82,4082,3950,174,162,38,548,51,81,247006,18736,20175,50.8,2.54,2.36,7.3,9.1
"WPG",82,3597,3779,155,171,42,567,49,91,245708,21080,21124,48.8,2.27,2.51,7.17,8.35
"DAL",88,3566,3877,174,152,78,681,53,79,262126,23461,24704,47.9,2.39,2.09,11.97,7.72
"UTA",88,4299,3864,202,177,47,654,56,85,262135,22966,24036,52.7,2.77,2.43,7.37,8.39
"VAN",82,3502,4035,131,210,51,647,61,91,245547,20836,20801,46.5,1.92,3.08,8.81,10.56
"SJS",82,3412,3856,163,190,54,695,58,66,241110,23725,23246,46.9,2.43,2.84,8.19,8.98
"SEA",82,3513,4224,153,160,42,607,58,37,247651,21677,19510,45.4,2.22,2.33,6.98,10.7
"ANA",94,4801,4317,193,218,59,821,70,125,274069,27595,26498,52.7,2.54,2.86,7.7,9.51
